sep=;
Series;Time;Value
Average mTimeConsum;2018-03-28T23:40:00+08:00;440.54663212435236
Average mTimeConsum;2018-03-29T00:00:00+08:00;486.5925925925926
Average mTimeConsum;2018-03-29T00:20:00+08:00;378.7330097087379
Average mTimeConsum;2018-03-29T00:40:00+08:00;373.54140127388536
Average mTimeConsum;2018-03-29T01:00:00+08:00;550.2101449275362
Average mTimeConsum;2018-03-29T01:20:00+08:00;626.9759036144578
Average mTimeConsum;2018-03-29T01:40:00+08:00;514.6086956521739
Average mTimeConsum;2018-03-29T02:00:00+08:00;463.8723404255319
Average mTimeConsum;2018-03-29T02:20:00+08:00;629.5757575757576
Average mTimeConsum;2018-03-29T02:40:00+08:00;509.2
Average mTimeConsum;2018-03-29T03:00:00+08:00;711.4418604651163
Average mTimeConsum;2018-03-29T03:20:00+08:00;571.5641025641025
Average mTimeConsum;2018-03-29T03:40:00+08:00;601.7241379310345
Average mTimeConsum;2018-03-29T04:00:00+08:00;491.57142857142856
Average mTimeConsum;2018-03-29T04:20:00+08:00;453.22727272727275
Average mTimeConsum;2018-03-29T04:40:00+08:00;694.2857142857143
Average mTimeConsum;2018-03-29T05:00:00+08:00;886.047619047619
Average mTimeConsum;2018-03-29T05:20:00+08:00;1277.357142857143
Average mTimeConsum;2018-03-29T05:40:00+08:00;719.4883720930233
Average mTimeConsum;2018-03-29T06:00:00+08:00;593.5454545454545
Average mTimeConsum;2018-03-29T06:20:00+08:00;479.35897435897436
Average mTimeConsum;2018-03-29T06:40:00+08:00;565.5393258426966
Average mTimeConsum;2018-03-29T07:00:00+08:00;554.8473282442748
Average mTimeConsum;2018-03-29T07:20:00+08:00;484.36842105263156
Average mTimeConsum;2018-03-29T07:40:00+08:00;512.6909090909091
Average mTimeConsum;2018-03-29T08:00:00+08:00;542.8376068376068
Average mTimeConsum;2018-03-29T08:20:00+08:00;506.1823529411765
Average mTimeConsum;2018-03-29T08:40:00+08:00;526.7142857142857
Average mTimeConsum;2018-03-29T09:00:00+08:00;525.4618473895582
Average mTimeConsum;2018-03-29T09:20:00+08:00;467.62544169611306
Average mTimeConsum;2018-03-29T09:40:00+08:00;439.2809917355372
Average mTimeConsum;2018-03-29T10:00:00+08:00;408.8179104477612
Average mTimeConsum;2018-03-29T10:20:00+08:00;504.9608540925267
Average mTimeConsum;2018-03-29T10:40:00+08:00;459.7551020408163
